Common Date,Brazil,Indonesia,Mexico,India,China
22-04-2022,111078,7225.605957,53191.78125,17171.94922,3086.919922
25-04-2022,110685,7215.979004,52640.82813,16953.94922,2928.51001
26-04-2022,108213,7232.152832,52512.71094,17200.80078,2886.429932
27-04-2022,109349,7196.76416,52351.21094,17038.40039,2958.280029
28-04-2022,109919,7228.914063,52614.17188,17245.05078,2975.47998
09-05-2022,103250,6909.750977,49057.46094,16301.84961,3004.139893
10-05-2022,103110,6819.793945,49115.85938,16240.04981,3035.840088
11-05-2022,104397,6816.203125,49276.23047,16167.09961,3058.699951
12-05-2022,105688,6599.839844,49309.32031,15808,3054.98999
13-05-2022,106924,6597.993164,49579.89844,15782.15039,3084.280029
17-05-2022,108789,6644.466797,51464.03125,16259.29981,3093.699951
18-05-2022,106247,6793.414063,50394.03125,16240.29981,3085.97998
19-05-2022,107005,6823.334961,51289.91016,15809.40039,3096.959961
20-05-2022,108488,6918.144043,51518.30078,16266.15039,3146.570068
23-05-2022,110346,6840.774902,51376.89063,16214.7002,3146.860107
24-05-2022,110581,6914.141113,51304.03906,16125.15039,3070.929932
25-05-2022,110580,6883.503906,51717.07031,16025.79981,3107.459961
27-05-2022,111942,7026.255859,52463.55078,16352.4502,3130.23999
30-05-2022,111032,7037.564941,52162.07813,16661.40039,3149.060059
31-05-2022,111351,7148.970215,51752.53125,16584.55078,3186.429932
02-06-2022,112393,7148.723145,50971.37891,16628,3195.459961
06-06-2022,110186,7096.582031,50060.53125,16569.55078,3236.370117
07-06-2022,110070,7141.044922,50139.19922,16416.34961,3241.76001
08-06-2022,108368,7193.313965,49819.30078,16356.25,3263.790039
09-06-2022,107094,7182.830078,49290.21875,16478.09961,3238.949951
10-06-2022,105481,7086.647949,48471.51953,16201.79981,3284.830078
13-06-2022,102598,6995.441895,48445.30078,15774.40039,3255.550049
14-06-2022,102063,7049.881836,48164.46875,15732.09961,3288.909912
15-06-2022,102807,7007.049805,48344.96875,15692.15039,3305.409912
17-06-2022,99825,6936.966797,48016.23047,15293.5,3316.790039
20-06-2022,99853,6976.376953,47780.71875,15350.15039,3315.429932
21-06-2022,99685,7044.070801,48104.37891,15638.79981,3306.719971
22-06-2022,99522,6984.311035,47144.35938,15413.29981,3267.199951
23-06-2022,98080,6998.26709,46657.87891,15556.65039,3320.149902
24-06-2022,98672,7042.937012,47741.5,15699.25,3349.75
27-06-2022,100764,7016.055176,48294.82813,15832.04981,3379.189941
28-06-2022,100591,6996.456055,48435.44922,15850.2002,3409.209961
29-06-2022,99622,6942.351074,48061.60938,15799.09961,3361.52002
30-06-2022,98542,6911.582031,47524.44922,15780.25,3398.620117
01-07-2022,98954,6794.328125,47743.14844,15752.04981,3387.639893
04-07-2022,98609,6639.171875,48036.37891,15835.34961,3405.429932
05-07-2022,98295,6703.266113,47503.21875,15810.84961,3404.030029
06-07-2022,98719,6646.410156,47722.28906,15989.79981,3355.350098
07-07-2022,100730,6652.586914,47374.37891,16132.90039,3364.399902
08-07-2022,100289,6740.219238,47582.10938,16220.59961,3356.080078
11-07-2022,98212,6722.14502,47369.89063,16216,3313.580078
12-07-2022,98271,6718.293945,47651.51953,16058.29981,3281.469971
13-07-2022,97881,6640.990234,47461.35156,15966.65039,3284.290039
14-07-2022,96121,6690.086914,46741.30859,15938.65039,3281.73999
15-07-2022,96551,6651.904785,47075.87109,16049.2002,3228.060059
18-07-2022,96916,6659.25293,46923.19922,16278.5,3278.100098
19-07-2022,98245,6736.091797,47259.23047,16340.54981,3279.429932
20-07-2022,98287,6874.743164,47132.48828,16520.84961,3304.719971
21-07-2022,99033,6864.130859,47416.37109,16605.25,3272
22-07-2022,98925,6886.961914,47264.85938,16719.44922,3269.969971
25-07-2022,100270,6858.407227,47202.64063,16631,3250.389893
26-07-2022,99772,6871.537109,46674.30078,16483.84961,3277.439941
27-07-2022,101438,6898.21582,46842.92188,16641.80078,3275.76001
28-07-2022,102597,6956.816895,48112.26953,16929.59961,3282.580078
29-07-2022,103165,6951.123047,48144.32813,17158.25,3253.23999
01-08-2022,102225,6968.783203,47384.55859,17340.05078,3259.959961
02-08-2022,103362,6988.157227,46902.69141,17345.44922,3186.27002
03-08-2022,103775,7046.634766,46989.60938,17388.15039,3163.669922
04-08-2022,105892,7057.348145,46916.17188,17382,3189.040039
05-08-2022,106472,7084.654785,46723.42969,17397.5,3227.030029
08-08-2022,108402,7086.849121,47354.85938,17525.09961,3236.929932
10-08-2022,110236,7086.23584,47808.21094,17534.75,3230.02002
11-08-2022,109718,7160.384766,48460.55078,17659,3281.669922
12-08-2022,112764,7129.276855,48853.37109,17698.15039,3276.889893
16-08-2022,113512,7133.453125,48801.67969,17825.25,3277.879883
18-08-2022,113813,7186.558105,48729.80078,17956.5,3277.540039
19-08-2022,111496,7172.434082,48463.26172,17758.44922,3258.080078
22-08-2022,110501,7107.98291,48016.60938,17490.69922,3277.790039
23-08-2022,112857,7163.265137,47974.03125,17577.5,3276.219971
24-08-2022,112898,7194.706055,47449.73047,17604.94922,3215.199951
25-08-2022,113532,7174.208008,47724.23828,17522.44922,3246.25
26-08-2022,112299,7135.248047,47272.10938,17558.90039,3236.219971
29-08-2022,112323,7132.044922,46322.10156,17312.90039,3240.72998
30-08-2022,110431,7159.473145,45922.05078,17759.30078,3227.219971
01-09-2022,110405,7153.104004,45383.85156,17542.80078,3184.97998
02-09-2022,110864,7177.179199,45888.62891,17539.44922,3186.47998
05-09-2022,112203,7231.882813,46026.07813,17665.80078,3199.912109
06-09-2022,109764,7233.154785,45902.89063,17655.59961,3243.449951
08-09-2022,109916,7232.01709,46283.33984,17798.75,3235.590088
